,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
0,500,0.26421404682274247,0.0,0.2346469269028535,794216,0.41042160987854004,0.16666666666666666,0.08269560209062182,0.037037037037037035,0.07101326649479996,0.6,0.13354970010513642,0.0,0.07679926637402108,0.0,0.13508695157745257,0.5862068965517241,0.09825862030396565,0.3,0.11627055838555798,0.0,0.10347828801993908,0.29411764705882354,0.09653327298407305,0.45161290322580644,0.07967762210643786,0,0
1,1000,0.298,0.0,0.21626944254652145,794192,0.9933054447174072,0.0,0.08575451841692353,0.6170212765957447,0.08651069803939072,0.5333333333333333,0.07414321300468486,0.0,0.07792601018215486,0.03508771929824561,0.1397305630389091,0.64,0.08694426205444557,0.5901639344262295,0.10716077972230034,0.0,0.08991087850005205,0.10416666666666667,0.10436144490073256,0.3793103448275862,0.14751402481978962,0,0
2,1500,0.258,0.0,0.18160801891786962,794192,1.5744764804840088,0.0,0.11352605107714817,0.5625,0.0746637116800189,0.5476190476190477,0.07760863336748408,0.0,0.1313702345791566,0.0,0.09411641414434883,0.42,0.09044871405686156,0.27450980392156865,0.10464291535619995,0.4807692307692308,0.10018902415200232,0.0,0.1105621768721533,0.5405405405405406,0.10287183819346563,0,0
3,2000,0.226,0.0,0.13020807580450133,1579200,2.164381265640259,0.0,0.1128737234755232,0.0,0.0822022278458211,0.425531914893617,0.11315113146625126,0.0,0.09199096773913695,0.0,0.07898133589979886,0.5245901639344263,0.1400842437553798,0.1320754716981132,0.08207032490162638,0.6140350877192983,0.11831767049868519,0.0,0.09330127070117016,0.37735849056603776,0.08702710183402462,0,0
4,2500,0.262,0.0,0.18133896560292498,1578648,3.0223278999328613,0.0,0.07501667401951395,0.0,0.12062828625741702,0.4418604651162791,0.11009590725983731,0.0,0.10183003283885027,0.0,0.0925519169462429,0.7843137254901961,0.09470413428061988,0.24,0.08921755263080702,0.6444444444444445,0.10958439122009553,0.0,0.10736424864283944,0.5714285714285714,0.0990068558914072,0,0
5,3000,0.246,0.0,0.1583957281327993,1578504,3.7201054096221924,0.0,0.09537868913164053,0.0,0.12395232582143492,0.5094339622641509,0.10965395680557559,0.0,0.09470708152742018,0.0,0.05566178869274879,0.5306122448979592,0.0821254452193677,0.16666666666666666,0.06507942602858442,0.5660377358490566,0.0943084247102622,0.0,0.10329001684982597,0.576271186440678,0.17584284521305849,0,0
6,3500,0.208,0.0,0.130419506710702,2153824,4.609838008880615,0.08333333333333333,0.11184889864798458,0.01639344262295082,0.12629287972591835,0.4528301886792453,0.08775518578360776,0.0,0.10771595796033519,0.3076923076923077,0.06706756075951653,0.5526315789473685,0.07253866941602873,0.109375,0.14175222244075045,0.5714285714285714,0.08515902987401566,0.0,0.11903005258878933,0.3,0.0808395428030528,0,0
7,4000,0.282,0.0,0.1964509544103427,2389248,5.46697211265564,0.07317073170731707,0.10704440581285511,0.5370370370370371,0.11814903001503188,0.36363636363636365,0.0962039574183572,0.4791666666666667,0.09212110076295262,0.0,0.10985058211965743,0.27419354838709675,0.12694439933281543,0.42592592592592593,0.09689149428673309,0.3392857142857143,0.09152871386846485,0.0,0.09522182109708545,0.23529411764705882,0.06604449528604679,0,0
8,4500,0.414,0.3287822983399443,0.34799636836202447,2624672,6.13395094871521,0.10204081632653061,0.10585286415520291,0.42592592592592593,0.1331658193259243,0.5409836065573771,0.12069940843801613,0.46153846153846156,0.10295006316166642,0.7083333333333334,0.09303699333845909,0.5116279069767442,0.057975925975497555,0.6206896551724138,0.11236862087721801,0.23404255319148937,0.11099109666447372,0.06382978723404255,0.08963414561593001,0.40476190476190477,0.07332506244761176,0,0
9,5000,0.504,0.0,0.44727985914551255,2722952,6.764812231063843,0.34,0.07787376578341873,0.58,0.10175829513664565,0.6086956521739131,0.09729844562575245,0.5172413793103449,0.08565795200903513,0.6818181818181818,0.10693882208800819,0.5901639344262295,0.12840270882637253,0.7777777777777778,0.15056647330986922,0.425531914893617,0.08435268323908617,0.0,0.06950445038313405,0.45652173913043476,0.0976464035986779,0,0
10,5500,0.462,0.0,0.4010669469109305,2982544,7.375554084777832,0.4222222222222222,0.0844545607550271,0.22641509433962265,0.11332213341894325,0.5588235294117647,0.08302265992082251,0.5,0.07081371560826055,0.2459016393442623,0.12122319935883362,0.5833333333333334,0.07296847762478854,0.8214285714285714,0.11285278612472402,0.4918032786885246,0.12940546651470583,0.0,0.07839347757775564,0.7254901960784313,0.13354352309613887,0,0
11,6000,0.46,0.0,0.3987065509807765,2947792,8.000669956207275,0.38596491228070173,0.10804324155534717,0.32142857142857145,0.11702664535274546,0.358974358974359,0.08269499182777958,0.4888888888888889,0.09127463011430391,0.5932203389830508,0.12239834426837344,0.5454545454545454,0.10678490695334622,0.76,0.07921530786207702,0.44,0.06851979702379728,0.0,0.11651747325006956,0.7058823529411765,0.10752466179216039,0,0
12,6500,0.554,0.0,0.5048845470692718,3003688,8.648497581481934,0.5208333333333334,0.07207777946030094,0.3333333333333333,0.09220911473015427,0.6904761904761905,0.07855009587815735,0.7678571428571429,0.0942327846504693,0.5961538461538461,0.11351853193745266,0.7906976744186046,0.04808596759799655,0.7,0.11828060461617808,0.46808510638297873,0.09774158774100901,0.0,0.15807785190104853,0.7777777777777778,0.12722568148723326,0,0
13,7000,0.564,0.0,0.514820238672833,3114888,9.301243782043457,0.5490196078431373,0.10091798073803263,0.39655172413793105,0.09507889215295004,0.5555555555555556,0.08578565210331003,0.7619047619047619,0.0890306602554097,0.6153846153846154,0.08334383775453455,0.7073170731707317,0.10371967677591569,0.8571428571428571,0.12266084765607228,0.4716981132075472,0.15580504469143144,0.0,0.0811168857529648,0.7608695652173914,0.08254052211937876,0,0
14,7500,0.604,0.47882430268652854,0.5585520507263825,3306632,9.966430187225342,0.5,0.13333274355812813,0.37777777777777777,0.09628560983385864,0.4090909090909091,0.08731714803008382,0.8852459016393442,0.12052888777611002,0.6833333333333333,0.07732845403530553,0.72,0.09151326774311037,0.9777777777777777,0.09478895645980788,0.4807692307692308,0.11013558405108301,0.047619047619047616,0.08529407220641554,0.8409090909090909,0.10347527630609728,0,0
15,8000,0.614,0.4910261435504136,0.5700984541364102,3306536,10.62974500656128,0.5319148936170213,0.09447028331571793,0.5,0.11348715149634214,0.6078431372549019,0.07913170600310043,0.8793103448275862,0.11931968084741594,0.7083333333333334,0.08552100088239795,0.6222222222222222,0.07214307195714655,0.9464285714285714,0.1359284392708933,0.37735849056603776,0.10898122439935928,0.047619047619047616,0.07599387694190694,0.7647058823529411,0.11502356488571958,0,0
