,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,drifts_alerts,local_alerts
10,5500,0.708,0.6870338840322018,0.6756060168418245,3016832,8.94895052909851,0.6222222222222222,0.0844545607550271,0.6792452830188679,0.11332213341894325,0.6470588235294118,0.08302265992082251,0.6923076923076923,0.07081371560826055,0.7868852459016393,0.12122319935883362,0.5416666666666666,0.07296847762478854,0.8928571428571429,0.11285278612472402,0.7704918032786885,0.12940546651470583,0.525,0.07839347757775564,0.803921568627451,0.13354352309613887,0,0
11,6000,0.708,0.6963989935154299,0.6761658031088082,3156512,11.301188230514526,0.5263157894736842,0.10804324155534717,0.6607142857142857,0.11702664535274546,0.6923076923076923,0.08269499182777958,0.8222222222222222,0.09127463011430391,0.7288135593220338,0.12239834426837344,0.5454545454545454,0.10678490695334622,0.78,0.07921530786207702,0.86,0.06851979702379728,0.54,0.11651747325006956,0.9411764705882353,0.10752466179216039,0,0
12,6500,0.64,0.6260435228101017,0.5998861898495572,4173272,13.902031421661377,0.8333333333333334,0.07207777946030094,0.47058823529411764,0.09220911473015427,0.7380952380952381,0.07855009587815735,0.625,0.0942327846504693,0.7884615384615384,0.11351853193745266,0.46511627906976744,0.04808596759799655,0.64,0.11828060461617808,0.723404255319149,0.09774158774100901,0.39655172413793105,0.15807785190104853,0.7592592592592593,0.12722568148723326,0,0
13,7000,0.718,0.7055657746899758,0.6857868699023933,4881488,16.779205322265625,0.8235294117647058,0.10091798073803263,0.5862068965517241,0.09507889215295004,0.8222222222222222,0.08578565210331003,0.8095238095238095,0.0890306602554097,0.6730769230769231,0.08334383775453455,0.4878048780487805,0.10371967677591569,0.7301587301587301,0.12266084765607228,0.9056603773584906,0.15580504469143144,0.56,0.0811168857529648,0.782608695652174,0.08254052211937876,0,0
14,7500,0.762,0.7487577954575917,0.734674675478143,5450576,19.947962284088135,0.896551724137931,0.13333274355812813,0.7555555555555555,0.09628560983385864,0.8409090909090909,0.08731714803008382,0.7704918032786885,0.12052888777611002,0.7833333333333333,0.07732845403530553,0.58,0.09151326774311037,0.7111111111111111,0.09478895645980788,0.8846153846153846,0.11013558405108301,0.8095238095238095,0.08529407220641554,0.5454545454545454,0.10347527630609728,0,0
15,8000,0.82,0.8136107387667851,0.799638458729975,5706976,23.233774662017822,0.851063829787234,0.09447028331571793,0.86,0.11348715149634214,0.9215686274509803,0.07913170600310043,0.8620689655172413,0.11931968084741594,0.8333333333333334,0.08552100088239795,0.6222222222222222,0.07214307195714655,0.8392857142857143,0.1359284392708933,0.8301886792452831,0.10898122439935928,0.8571428571428571,0.07599387694190694,0.7058823529411765,0.11502356488571958,0,0
16,8500,0.826,0.8218713348137889,0.8064318039220921,6290088,26.593719959259033,0.7142857142857143,0.07980439089411254,0.8867924528301887,0.08729914309526683,0.8611111111111112,0.08713690032813388,0.9795918367346939,0.11468747560031264,0.8409090909090909,0.0861406303139784,0.8076923076923077,0.10661890853871207,0.8103448275862069,0.10270586887794449,0.6481481481481481,0.11272930789539534,0.8679245283018868,0.10679102823881544,0.85,0.11608634621732841,0,0
17,9000,0.782,0.7829124786510192,0.7572393886886919,7233288,30.11062717437744,0.5849056603773585,0.12326122849936193,0.7857142857142857,0.12721780874711472,0.9069767441860465,0.07396526012621288,0.7307692307692307,0.09248246552437608,0.8787878787878788,0.04976119360461813,0.717391304347826,0.11143058088850682,0.8636363636363636,0.08595466093276319,0.8103448275862069,0.12151218508564936,0.8301886792452831,0.12035494672950504,0.7755102040816326,0.09405966986189183,0,0
18,9500,0.876,0.8731551236716171,0.861824892022839,7489072,33.7566397190094,0.9019607843137255,0.10283447099020139,0.8909090909090909,0.13601949803703073,0.975,0.0751266300044238,0.7931034482758621,0.13181073199930785,0.9090909090909091,0.09527128697073396,0.7894736842105263,0.06245553109820383,0.8490566037735849,0.10435798868149335,0.825,0.06998701035507154,0.9473684210526315,0.1096085803649244,0.8703703703703703,0.11252827149860907,0,0
19,10000,0.874,0.8662366880768219,0.8596950706201477,7744224,37.45171904563904,0.9090909090909091,0.10713236504822854,0.7021276595744681,0.09266113288311409,0.9622641509433962,0.10485508148864074,0.8679245283018868,0.11402396548465009,0.9464285714285714,0.09235964855701871,0.7555555555555555,0.08204946777953968,0.8679245283018868,0.10963687833498739,0.8444444444444444,0.08964529881593826,0.9791666666666666,0.10412093065479197,0.8695652173913043,0.10351523095309038,0,0
20,10500,0.886,0.8746930268848426,0.8731111368351692,7936960,41.15019178390503,0.9019607843137255,0.07729482651685103,0.7906976744186046,0.09082653828919905,0.9821428571428571,0.12223744530580609,1.0,0.12411432359245571,0.9803921568627451,0.1160376859074751,0.68,0.07856882449378193,0.7441860465116279,0.07256640907601532,0.8771929824561403,0.12796122263152215,1.0,0.10290271012436467,0.86,0.08749001406252904,0,0
21,11000,0.89,0.8805491816248494,0.8775710088148875,8611616,44.92481303215027,0.98,0.10229148459581797,0.8867924528301887,0.10312356141787204,0.8913043478260869,0.07648713432528768,1.0,0.11814028405212103,0.8666666666666667,0.10258802240552306,0.68,0.07297177141191037,0.851063829787234,0.0846963854651347,0.9122807017543859,0.1295505499833483,1.0,0.11960863744608288,0.7906976744186046,0.09054216889690195,0,0
22,11500,0.826,0.8183118516523545,0.8063826946187742,9732352,48.84385371208191,0.8947368421052632,0.06453974109302806,0.7346938775510204,0.12021816451310864,0.9642857142857143,0.10608194985148389,0.9523809523809523,0.09288693060101175,0.6607142857142857,0.10480526446728115,0.7111111111111111,0.12353898524470412,0.6792452830188679,0.10087466760754994,0.875,0.11374286480421333,0.9318181818181818,0.07084715655977325,0.8571428571428571,0.10246427525784589,0,0
23,12000,0.806,0.7983377438794169,0.7840903526227458,10162416,52.82928538322449,0.8648648648648649,0.05302989078773342,0.7213114754098361,0.12281170693174158,0.8723404255319149,0.09331597608944518,0.9,0.09965795222465104,0.62,0.0766945389488345,0.6923076923076923,0.09967306811975261,0.7659574468085106,0.10443204314039141,0.9074074074074074,0.10225560862680622,0.8269230769230769,0.11897123808610845,0.8703703703703703,0.12915797704453558,0,0
24,12500,0.884,0.8803708485267294,0.8706286999076557,10608600,56.88732099533081,0.7105263157894737,0.06822674280782036,0.96,0.14530308339550235,0.9523809523809523,0.09098941071170451,0.9622641509433962,0.09958152665139432,0.975,0.08273871192651328,0.6724137931034483,0.09621621762600702,0.9807692307692307,0.13407287436698895,0.9024390243902439,0.045728334672682516,0.9056603773584906,0.08855645331431161,0.8513513513513513,0.14858664452707507,0,0
25,13000,0.936,0.9390549600101091,0.9287784162990594,10719928,60.98528861999512,0.8518518518518519,0.10976668990720602,0.875,0.11887379984638848,0.975,0.11356406667869542,0.9607843137254902,0.0908173659079031,0.96,0.09195123127541882,0.975609756097561,0.10484939444612179,1.0,0.08653073241528628,0.9622641509433962,0.11101860755593242,0.9375,0.09508945599876771,0.9038461538461539,0.07753865596827986,0,0
26,13500,0.938,0.938332612057618,0.9310731247443035,11120480,65.10142135620117,0.9245283018867925,0.0677600649570449,0.9375,0.09445047724515915,0.9565217391304348,0.11301415366015197,0.9795918367346939,0.10473867889432222,1.0,0.09615281479724054,0.9074074074074074,0.12001235728010519,0.8461538461538461,0.11928892409574364,0.9607843137254902,0.09175285690995735,0.92,0.10490809324628696,0.96,0.08792157891398812,0,0
27,14000,0.95,0.9482418366593423,0.9443013608291522,11502640,69.24942016601562,0.9473684210526315,0.12656319308641578,0.9019607843137255,0.12918481371907137,0.9821428571428571,0.07916253986411796,0.9803921568627451,0.10669652629379082,1.0,0.09936752668040288,0.9166666666666666,0.09692883174295408,0.8604651162790697,0.10824190890865258,1.0,0.06153313496126001,0.96,0.09084523475998255,0.9433962264150944,0.10147628998335191,0,0
28,14500,0.94,0.9365336532596917,0.9331756278149766,11803200,73.43696999549866,0.8372093023255814,0.09189900831528956,0.8541666666666666,0.10755662856122923,1.0,0.12471519721751076,1.0,0.06182264087966114,1.0,0.08452962589631685,0.8979591836734694,0.09470857380655591,0.9423076923076923,0.09923401128100817,0.9607843137254902,0.11810341131408966,0.9375,0.09792125327188038,0.9523809523809523,0.11950964945645842,0,0
29,15000,0.942,0.9444964391487601,0.9353411756312039,12086760,77.63864970207214,0.8448275862068966,0.08258947899087776,0.9,0.10174145315744071,1.0,0.0782023565891074,0.9772727272727273,0.05661103232034636,0.9767441860465116,0.09325836023824897,0.9047619047619048,0.1393816201791843,0.9347826086956522,0.10623740047031596,0.9830508474576272,0.12437302010094343,0.9629629629629629,0.13797154245167217,0.9722222222222222,0.0796337355018629,0,0
30,15500,0.962,0.9643274777257947,0.9576931641059897,12570384,81.88421440124512,1.0,0.06608608734323744,0.9230769230769231,0.11893874594985078,1.0,0.06693902046176554,0.9591836734693877,0.1339127290222772,1.0,0.11302932842686737,0.9259259259259259,0.10651053873910561,0.9649122807017544,0.0987532263834876,1.0,0.10289697233050828,0.9636363636363636,0.10499500658540448,0.9122807017543859,0.08793834475749575,0,0
31,16000,0.952,0.9526658154375469,0.9465735859809089,13017080,86.20718097686768,0.9615384615384616,0.13614591663020764,0.9508196721311475,0.09952982061034076,0.9795918367346939,0.09963409531165243,1.0,0.07949021986888273,0.9615384615384616,0.12139124487685883,0.9411764705882353,0.11758366439387842,1.0,0.08705585279549242,0.9444444444444444,0.10086044537881599,0.8679245283018868,0.08866285972157634,0.926829268292683,0.06964588041229455,0,0
32,16500,0.942,0.9387980101881995,0.9353849718813222,13171504,90.55282068252563,0.9824561403508771,0.1155380740212011,0.8222222222222222,0.09114126262833308,1.0,0.0733640962077046,1.0,0.1348287947368909,1.0,0.09262300599283818,0.8392857142857143,0.08861285973716954,1.0,0.105067589433903,0.9830508474576272,0.14361175849902685,0.8333333333333334,0.08415249202699247,0.9574468085106383,0.0710600667159403,0,0
33,17000,0.94,0.9439995757945355,0.9331258749364695,13782680,94.92916250228882,0.9666666666666667,0.14050010080276817,0.8653846153846154,0.11969214058586539,0.9534883720930233,0.0882249151693149,1.0,0.0853428737674442,0.9772727272727273,0.08389964782311166,0.8709677419354839,0.08653950893506845,0.9767441860465116,0.08228371637586422,1.0,0.10132539547994174,0.847457627118644,0.1055731456413812,1.0,0.10661855541924012,0,0
34,17500,0.964,0.963010330627615,0.9598518981130392,14025008,99.36087942123413,1.0,0.07776059094573526,0.8723404255319149,0.08957279763951793,0.9107142857142857,0.12443410588854611,1.0,0.14598128293267956,1.0,0.05025615461905765,0.9821428571428571,0.10791317478522222,0.9512195121951219,0.06857565503907385,1.0,0.07102852654010701,0.9545454545454546,0.0928037216559255,0.9682539682539683,0.17167398995413488,0,0
35,18000,0.968,0.968907447910875,0.9643552533673146,14316048,103.80890345573425,1.0,0.07189901267276923,0.8928571428571429,0.12413151619179677,0.9761904761904762,0.10406550800783711,1.0,0.1027010733931121,0.9615384615384616,0.10073093788051139,0.9302325581395349,0.11611233817942833,0.9705882352941176,0.11320498435274512,1.0,0.060432454099608464,1.0,0.13136135949012373,0.9636363636363636,0.0753608157320678,0,0
36,18500,0.966,0.9658481363540626,0.9621024660148291,14504920,108.28760099411011,0.9791666666666666,0.0757584336864137,0.953125,0.12488477020900644,1.0,0.07127147740098602,1.0,0.0956749461098499,0.975,0.09680944972329414,0.8367346938775511,0.11318420941188392,0.9807692307692307,0.1214345327067874,1.0,0.09371379381257353,0.9824561403508771,0.11207213438152656,0.9629629629629629,0.0951962525576785,0,0
37,19000,0.976,0.9767873964111504,0.9732672737965817,14868224,112.73982119560242,0.9772727272727273,0.08880307352432457,0.9545454545454546,0.07445974377504902,1.0,0.10281027754013776,0.9814814814814815,0.1002934041559876,0.9830508474576272,0.09026361600212505,0.9393939393939394,0.12328108857556583,1.0,0.09331406998847042,1.0,0.11423636214443277,0.9807692307692307,0.128149553981476,0.9534883720930233,0.08438881031243102,0,0
38,19500,0.978,0.9802987155631805,0.9754311827428628,15318576,117.18260216712952,0.9833333333333333,0.1227000232109711,0.9672131147540983,0.11564409025473546,1.0,0.10919992706189728,1.0,0.08047352255466161,0.98,0.053607469098500074,1.0,0.12920952842865713,0.9736842105263158,0.06433143249409315,0.9642857142857143,0.1027961904113716,1.0,0.07351439632790864,0.9365079365079365,0.1485234201572039,0,0
39,20000,0.96,0.9563479748634449,0.955408105022831,15996664,121.67553758621216,1.0,0.08490367423394626,0.9215686274509803,0.07777613607311264,0.9111111111111111,0.10215527956436259,1.0,0.12348463885397686,0.9838709677419355,0.1400002101289371,0.9,0.08235871332973566,0.9347826086956522,0.0856759889903076,0.9636363636363636,0.12103684901466547,1.0,0.11409257887890512,0.9555555555555556,0.06851593093205074,0,0
40,20500,0.97,0.9679613057454057,0.9665304082397672,16108448,126.24062299728394,0.9607843137254902,0.11305588224274236,0.9523809523809523,0.09611865582085083,1.0,0.15933394861329206,1.0,0.11231264416536715,0.9772727272727273,0.10138462818308523,0.94,0.0891494784502515,0.9285714285714286,0.058695149639211484,0.98,0.08309709727361383,0.9636363636363636,0.09819200307372912,0.9795918367346939,0.08866051253785645,0,0
41,21000,0.982,0.9814691875104915,0.9799658975055316,16290224,130.7752914428711,1.0,0.08771421958748901,1.0,0.10710470339928915,1.0,0.08894403426898975,0.975,0.06762733483383591,1.0,0.10747957394520337,0.9629629629629629,0.10340618233212578,0.9836065573770492,0.11296106542890644,0.9333333333333333,0.08263101864453061,1.0,0.10216463073922258,0.9622641509433962,0.13996723682040743,0,0
42,21500,0.98,0.9785859812468681,0.9777406789092933,16420896,135.33483576774597,1.0,0.10774823950060629,0.9807692307692307,0.11144860535909172,1.0,0.1240461011426505,0.9803921568627451,0.0840035322491669,1.0,0.10525051942298407,0.9523809523809523,0.08072881296548085,0.9607843137254902,0.12795545721048893,1.0,0.07497572815951245,0.9534883720930233,0.09541578408370038,0.96,0.08842721990631783,0,0
43,22000,0.974,0.9762457823110863,0.9710379981464319,16565080,139.9004466533661,1.0,0.075392419329937,1.0,0.08862790649599979,0.9782608695652174,0.0693905241933839,1.0,0.09148358790645347,0.9827586206896551,0.13048294705714342,0.9491525423728814,0.11493843627223552,0.9016393442622951,0.13459000106286576,0.9795918367346939,0.11779276802237727,1.0,0.10713560324681443,0.975609756097561,0.07016580641278944,0,0
44,22500,0.76,0.7613893799782648,0.7332195069896489,10264976,143.75412821769714,0.8421052631578947,0.07668256294855719,0.7727272727272727,0.09680057951135111,0.5166666666666667,0.12799059614937303,0.7358490566037735,0.11083873927710056,0.84,0.1034860807411373,0.972972972972973,0.08611739409475994,0.6909090909090909,0.11463093578253922,0.6808510638297872,0.11734570471104686,0.8604651162790697,0.07305601211304454,0.8,0.09305139467109012,0,0
45,23000,0.808,0.7880083128217747,0.7862391449565799,10796024,147.3302125930786,0.9666666666666667,0.11728343458238161,0.8928571428571429,0.11907030009215923,0.5098039215686274,0.12569917381779547,0.875,0.1266338166565047,0.6136363636363636,0.06207625246400944,0.9074074074074074,0.0949643949546354,0.9318181818181818,0.08821574166378189,0.74,0.10583928889258952,0.7380952380952381,0.062018158686437286,0.8461538461538461,0.09819943818970546,0,0
46,23500,0.782,0.7696152613965181,0.7574457479572037,11364856,151.09819102287292,0.8301886792452831,0.09344618046109833,0.84,0.08589641992366484,0.6730769230769231,0.11745206462217217,0.8775510204081632,0.11116870032347259,0.9322033898305084,0.08870462471894636,0.8653846153846154,0.11312551592583389,0.8163265306122449,0.098737741766477,0.6382978723404256,0.1015078732928383,0.6153846153846154,0.12850141217911826,0.6842105263157895,0.061459466786378376,0,0
47,24000,0.834,0.8236152328377881,0.8152846396937731,11359608,155.02663326263428,0.9215686274509803,0.09253497606001469,0.9444444444444444,0.0976556744941541,0.7317073170731707,0.09195709317421163,0.8431372549019608,0.12637193501098154,0.9811320754716981,0.11740002397763294,0.9791666666666666,0.09727972730385696,0.5849056603773585,0.08404244748743371,0.8163265306122449,0.10164640259856114,0.851063829787234,0.06433119512208625,0.6851851851851852,0.126780524771067,0,0
48,24500,0.854,0.8461017771770726,0.8375112963037159,11634552,158.95067715644836,0.9230769230769231,0.09657006399397784,0.9824561403508771,0.08475663500858453,0.8095238095238095,0.1174719883271814,0.8,0.07207482910953505,0.9803921568627451,0.1029246392692709,0.9318181818181818,0.11078544233193036,0.5660377358490566,0.1164747199683476,0.8947368421052632,0.11182285243355852,0.9375,0.07798455362573528,0.7380952380952381,0.10913427593187856,0,0
49,25000,0.814,0.8013473464029477,0.7934756056938552,11744720,162.8420090675354,0.8627450980392157,0.11066922884746973,1.0,0.05188246239766156,0.6,0.13432563953265117,0.8035714285714286,0.1223195581326838,1.0,0.15969699764611064,1.0,0.08198205224270619,0.49019607843137253,0.06793519849675718,0.813953488372093,0.09691733424216674,0.9137931034482759,0.10654257540632533,0.72,0.06772895305546776,0,0
50,25500,0.822,0.8034107125266873,0.8016783802694499,12334152,166.87929320335388,0.9622641509433962,0.06649126556622229,0.8421052631578947,0.05381496984911977,0.6486486486486487,0.09801412996303874,0.7611940298507462,0.1470710102592588,0.9555555555555556,0.09739150630825058,0.9772727272727273,0.11764554535453231,0.46938775510204084,0.1016193196940927,0.8688524590163934,0.11011550599408718,0.9803921568627451,0.08703456160724896,0.75,0.12080218540414868,0,0
51,26000,0.852,0.8523773259249044,0.835266356492509,12037184,170.92591834068298,1.0,0.10030823201233093,0.82,0.09769736594850954,0.8846153846153846,0.13748146256481444,0.8888888888888888,0.10730623143478703,0.7090909090909091,0.08823229597971396,0.9583333333333334,0.08996928082072285,0.8225806451612904,0.10578877530653183,0.9,0.09215098123560184,0.9166666666666666,0.08944606506028589,0.6808510638297872,0.09161930963670166,0,0
52,26500,0.846,0.845569357993821,0.8284680638722555,12177432,175.0331597328186,0.9761904761904762,0.06570368322667165,0.8837209302325582,0.11439798688713296,0.9166666666666666,0.0932860048447222,0.7868852459016393,0.11884225348784332,0.7796610169491526,0.10981628428372132,0.9433962264150944,0.08498195554233111,0.7073170731707317,0.10250331255220523,0.8541666666666666,0.08515874059525082,0.88,0.0881742140657193,0.7678571428571429,0.13713556451440226,0,0
53,27000,0.88,0.8767960078363594,0.8664547749095232,12735688,179.20179796218872,0.94,0.11745825463658328,0.8727272727272727,0.1429928619301116,0.8444444444444444,0.08564008425604125,0.8409090909090909,0.10837301511978284,0.7903225806451613,0.11637465241487163,0.9423076923076923,0.12945509685358025,0.8260869565217391,0.055218636206972774,0.9148936170212766,0.08248348226171741,0.9827586206896551,0.09522923278438399,0.8333333333333334,0.06677468353595481,0,0
54,27500,0.916,0.9118132716358518,0.9064633804134319,12973032,183.40194487571716,1.0,0.10398254833367894,0.9090909090909091,0.10916515429393549,0.9666666666666667,0.1065712416802027,0.9183673469387755,0.10540087924454994,0.86,0.10693169205227873,0.9130434782608695,0.09012508476645358,0.9019607843137255,0.11772977915883352,0.8292682926829268,0.08646251551011323,0.9347826086956522,0.07451544836331352,0.896551724137931,0.09911565659664028,0,0
55,28000,0.928,0.9246491554548033,0.9198560971700298,13233288,187.716778755188,1.0,0.07189682874532433,0.8076923076923077,0.10363823416945633,0.8333333333333334,0.0927641008453003,1.0,0.1144923958604742,0.8695652173913043,0.11945358171177753,0.9583333333333334,0.08822242369878004,0.9824561403508771,0.1329974806393992,0.9830508474576272,0.09382259043119649,0.9069767441860465,0.08333126357607598,0.9298245614035088,0.09938110032221567,0,0
56,28500,0.964,0.9634355870220668,0.9598773137415743,13421560,191.97411012649536,1.0,0.08145602211358553,0.9411764705882353,0.10236999415715203,0.9473684210526315,0.1257169034605806,1.0,0.08919626839104329,0.9850746268656716,0.11907331698656275,0.9565217391304348,0.08409948829942847,0.9622641509433962,0.11498679889908134,0.9782608695652174,0.06294937917781249,0.9090909090909091,0.10436025881917432,0.9583333333333334,0.11579156969557915,0,0
57,29000,0.962,0.960914208131789,0.9576844955991876,13488896,196.2766716480255,0.9791666666666666,0.08867116665944677,0.9069767441860465,0.06817724947558887,0.9285714285714286,0.11874068314899884,1.0,0.10492460366388902,1.0,0.0905276668522104,0.9534883720930233,0.10930835720332528,0.9482758620689655,0.10438457661371388,0.9824561403508771,0.11473563216040082,0.9787234042553191,0.09962140717377856,0.9361702127659575,0.1009086570486475,0,0
58,29500,0.968,0.9646480659203557,0.9642283838830983,13589168,200.57629013061523,0.9583333333333334,0.08483410443781464,0.9807692307692307,0.10912242426789374,0.9333333333333333,0.13197581917297802,1.0,0.09423495495665778,1.0,0.06360399763917593,0.9787234042553191,0.09140597584276161,0.9117647058823529,0.07046517477047472,1.0,0.15717900328367213,1.0,0.09457687925797216,0.8913043478260869,0.10260166637059911,0,0
59,30000,0.93,0.9244937935205566,0.9220680902228853,14327560,204.90379762649536,0.96,0.10805870996065774,0.9795918367346939,0.09447991489789775,0.98,0.08956716224742076,0.8048780487804879,0.08495226380182912,0.9807692307692307,0.1234218099532225,0.9508196721311475,0.09554837061657685,0.8620689655172413,0.13965364727167917,0.9772727272727273,0.060075319154472874,1.0,0.11089214085126405,0.782608695652174,0.09335066124497933,0,0
60,30500,0.954,0.9551226074821043,0.9488103981660768,14462488,209.30811619758606,0.9148936170212766,0.1114560909994403,0.9824561403508771,0.09790076855261882,0.9782608695652174,0.06627762536277318,0.896551724137931,0.11300581803865187,0.9811320754716981,0.112250400971643,0.98,0.09782132937233841,1.0,0.10238261316699278,0.9807692307692307,0.07406201754796897,0.9285714285714286,0.10672368502113101,0.9152542372881356,0.11811965096644164,0,0
61,31000,0.962,0.9557562621781823,0.9576074539483078,14662680,213.72995805740356,1.0,0.06054379930276848,0.9444444444444444,0.06327197777342083,0.9824561403508771,0.09613199487680113,0.9672131147540983,0.14106838487095727,1.0,0.10467854079777432,0.9791666666666666,0.1087788391512922,0.9591836734693877,0.09440070306703306,0.8048780487804879,0.09636261393043329,1.0,0.12471491709371803,0.9375,0.11004822913580134,0,0
62,31500,0.95,0.9472404783573247,0.9443363332338809,14995992,218.17928171157837,1.0,0.12165756784830778,0.9318181818181818,0.06848615193918524,0.9629629629629629,0.07688437063049998,0.9818181818181818,0.11220921678886929,0.9814814814814815,0.11066314470051711,0.9629629629629629,0.072512607539441,0.9,0.11304081992486487,0.8723404255319149,0.115114509008746,0.9130434782608695,0.13088708689145379,0.9743589743589743,0.07854452472811514,0,0
63,32000,0.954,0.9509374766929264,0.948747888635847,15408712,222.64471578598022,0.9772727272727273,0.08840989045070967,0.9180327868852459,0.11633024017338689,0.9459459459459459,0.08038060571501282,1.0,0.0864819070590016,0.9787234042553191,0.10592335192784968,0.9777777777777777,0.07946311493630157,1.0,0.1078256848240671,0.9772727272727273,0.10198182812654771,0.967741935483871,0.13410691526721516,0.7872340425531915,0.09909646151990766,0,0
64,32500,0.974,0.9743488193105723,0.9710399337037251,15528368,227.11861062049866,1.0,0.09773241182308827,0.9433962264150944,0.1270007966655152,0.9555555555555556,0.12570697279261492,1.0,0.06772178860094802,1.0,0.08043645095352468,1.0,0.052463874622646664,0.9814814814814815,0.13792292945176793,0.9696969696969697,0.12994879255851127,0.9787234042553191,0.09383310981299682,0.9183673469387755,0.08723287271838605,0,0
