,idx,accuracy,gmean,kappa,mem_usage,cpu_time,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
0,500,0.2408026755852843,0.20834494964958383,0.2217670988224822,56,3.8464629650115967,0.4,0.05700390503885849,0.25,0.04792999588233027,0.25,0.04877496766423307,0.21428571428571427,0.09595629000587996,0.3333333333333333,0.07201700290086778,0.1,0.04237567357240971,0.16,0.10279259354974676,0.5,0.059320036844489575,0.3181818181818182,0.07123294148718179,0.45,0.06770786161777914,0.2,0.07757163694884847,0.25,0.07446934783886945,0.08695652173913043,0.07086799310105484,0.047619047619047616,0.05237037787262214,0.14285714285714285,0.05297252411683393,0,0
1,1000,0.356,0.311566595868534,0.3083865646572647,56,8.876444339752197,0.25,0.05035363345426721,0.2571428571428571,0.05843061574900707,0.5,0.06348096725303994,0.15384615384615385,0.0454911448424377,0.4444444444444444,0.059030470983476586,0.16666666666666666,0.04754760736092551,0.40540540540540543,0.09832754475731005,0.6060606060606061,0.05946901955108318,0.40540540540540543,0.06887826078496141,0.3157894736842105,0.060948237207387464,0.4358974358974359,0.07109707395130772,0.6666666666666666,0.06502634706365715,0.2222222222222222,0.0749617309336586,0.2857142857142857,0.07513455637631489,0.11904761904761904,0.10177918241054859,0,0
2,1500,0.318,0.2622738660511976,0.2697916443606929,56,13.466332197189331,0.2571428571428571,0.06782239473466749,0.18421052631578946,0.06946392197634166,0.46875,0.050903446046157846,0.038461538461538464,0.04117655626101642,0.3888888888888889,0.07869304354942298,0.13157894736842105,0.08910926813620128,0.2972972972972973,0.06750111595463187,0.5882352941176471,0.07069713383237793,0.42857142857142855,0.04636687841420062,0.2894736842105263,0.07802580888375653,0.14814814814814814,0.05145256473136552,0.6052631578947368,0.0753535658930803,0.24444444444444444,0.07870896015356893,0.4230769230769231,0.05356601122055406,0.21739130434782608,0.08115904369149599,0,0
3,2000,0.334,0.292571280195086,0.28487675398471823,56,17.98368811607361,0.36666666666666664,0.08931571899786482,0.13333333333333333,0.05915947319289749,0.34375,0.04660075913058191,0.10344827586206896,0.07557313239869735,0.3333333333333333,0.08154936277286937,0.20689655172413793,0.048019604033821515,0.5384615384615384,0.06297302559544608,0.5641025641025641,0.06853866816604927,0.23076923076923078,0.08755388589368318,0.29411764705882354,0.044796420690942106,0.43902439024390244,0.09419960385674946,0.6285714285714286,0.061391970852620034,0.3333333333333333,0.06226135417700985,0.2413793103448276,0.05242162647055131,0.1794871794871795,0.06564539188763366,0,0
4,2500,0.314,0.25685026848856246,0.2647846869440336,56,22.347944736480713,0.4642857142857143,0.0481171921059939,0.21875,0.0731070266076615,0.3611111111111111,0.07442074156327551,0.03571428571428571,0.05747180591292709,0.3157894736842105,0.0894074019799141,0.37142857142857144,0.06504673220584643,0.6451612903225806,0.06449283838285245,0.40540540540540543,0.04998393462464023,0.15789473684210525,0.07277927821937011,0.3548387096774194,0.05267969603533691,0.3333333333333333,0.08181503244726376,0.6428571428571429,0.06430721536830186,0.24324324324324326,0.0909396046601768,0.125,0.03066774064073365,0.09523809523809523,0.08476375923333616,0,0
5,3000,0.286,0.23715275518298487,0.23586674543446431,56,26.718135118484497,0.3333333333333333,0.06309616113914601,0.11904761904761904,0.08143483698226284,0.23333333333333334,0.07480001683166657,0.07894736842105263,0.09739313577602163,0.34285714285714286,0.04837082540655348,0.25925925925925924,0.058597077150420666,0.2857142857142857,0.03042386349340756,0.5625,0.0458667680052727,0.06451612903225806,0.061496602413436234,0.3333333333333333,0.03908338722876057,0.45,0.06814665898722293,0.6451612903225806,0.052157804522863074,0.08571428571428572,0.06138281913409663,0.3870967741935484,0.08928639897040162,0.1951219512195122,0.1284636439583861,0,0
6,3500,0.272,0.0,0.21751392997179617,56,31.437256574630737,0.27586206896551724,0.06771543334239828,0.13513513513513514,0.09100152969322237,0.4883720930232558,0.07942481533828231,0.0,0.052790753431355794,0.4,0.062171648948007675,0.25,0.08050874136457953,0.5769230769230769,0.04405697568983874,0.375,0.04374823946498806,0.037037037037037035,0.051801015020718426,0.35,0.07361751231064273,0.21951219512195122,0.1061512138300583,0.56,0.04714252617406511,0.046511627906976744,0.09036970948010917,0.2631578947368421,0.05329407830885821,0.125,0.05620580760287481,0,0
7,4000,0.348,0.2835006375110114,0.2990905377222592,56,35.96839952468872,0.21428571428571427,0.07120696625545685,0.3103448275862069,0.05946082637601108,0.6052631578947368,0.09452564319641911,0.06451612903225806,0.08095691196774885,0.4666666666666667,0.03641093010951032,0.4838709677419355,0.07095721610405073,0.3333333333333333,0.058727088505618565,0.6153846153846154,0.09749297954051002,0.15,0.08057491340634428,0.40476190476190477,0.09070750264169733,0.3235294117647059,0.050655514648223134,0.5882352941176471,0.04705719086527735,0.09090909090909091,0.07580530845750337,0.25925925925925924,0.042279709236814116,0.1875,0.04318129868881477,0,0
8,4500,0.324,0.0,0.27388655444132226,56,40.64168119430542,0.3125,0.07181113187060163,0.21875,0.0674558950042751,0.5897435897435898,0.09975165660625054,0.0,0.060293987428227724,0.35,0.09553334496421577,0.40540540540540543,0.0678221392072391,0.34615384615384615,0.051640055832272554,0.36363636363636365,0.05642227632994965,0.0625,0.042950587151734484,0.34210526315789475,0.08012954902201232,0.34375,0.06067811304570133,0.5714285714285714,0.08255205547397805,0.14705882352941177,0.06851919267054869,0.38461538461538464,0.0457390601583415,0.3793103448275862,0.04870095523465162,0,0
9,5000,0.312,0.0,0.26168533200551164,56,44.996251344680786,0.36363636363636365,0.051990557003392494,0.125,0.06124250335326653,0.5428571428571428,0.06639900056340538,0.0,0.04533781958711997,0.2571428571428571,0.08295976151649612,0.32432432432432434,0.05465881653117148,0.47058823529411764,0.08467346266173922,0.4444444444444444,0.08005747229442767,0.14285714285714285,0.07061059595821366,0.358974358974359,0.09075964384358151,0.3333333333333333,0.09104719592365991,0.6206896551724138,0.05311231678171384,0.1111111111111111,0.04433008396603986,0.3333333333333333,0.0579791814178354,0.17857142857142858,0.0648415885979367,0,0
