,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,drifts_alerts,local_alerts
0,500,0.2040133779264214,0.0,0.14130827327398054,0.0,0.15370886858542177,0.0,0.21034896647915746,0.9836065573770492,0.23334557188141802,0.0,0.2197488464054971,0.015384615384615385,0.1762108950905109,0,0
1,1000,0.208,0.0,-0.004117897640830072,0.10112359550561797,0.17226521645631415,0.0,0.15206922318683969,0.8878504672897196,0.22667482509335454,0.0,0.19707165822235237,0.0,0.2518754697205222,0,0
2,1500,0.21,0.0,-0.0005065856129686063,1.0,0.18818976275716703,0.0,0.20897886794664075,0.0,0.18456512820121035,0.0,0.20483193950820228,0.0,0.21343401506561901,0,0
3,2000,0.184,0.0,-0.0004904364884747565,1.0,0.19507595132134437,0.0,0.20514209920538823,0.0,0.21906557965517867,0.0,0.20038799540031166,0.0,0.18032837253519482,0,0
4,2500,0.192,0.0,-0.000500250125062516,1.0,0.19564496027693107,0.0,0.21192594009868762,0.0,0.18725605122686284,0.0,0.19880194385090255,0.0,0.20637110453424665,0,0
5,3000,0.216,0.0,-0.0005104645227156859,1.0,0.21933101495307541,0.0,0.2043610383329957,0.0,0.13778723391211653,0.0,0.1593878507388465,0.0,0.2791328620628842,0,0
6,3500,0.218,0.0,-0.0005322524514319634,1.0,0.2381417783739029,0.0,0.19547114374394295,0.0,0.1396062301755452,0.0,0.22691125231476617,0.0,0.19986959539184224,0,0
7,4000,0.19,0.0,-0.000454527489032063,1.0,0.22519343582788703,0.0,0.18832505818130996,0.0,0.23679498145247294,0.0,0.18842020815519797,0.0,0.16126631638313219,0,0
8,4500,0.206,0.0,-0.0005695937737855907,1.0,0.2390186834811272,0.0,0.22364947159968268,0.0,0.15101291931395672,0.0,0.22335971754169168,0.0,0.16295920806354172,0,0
9,5000,0.2,0.0,-0.0005202705406811539,1.0,0.1796320609200644,0.0,0.18295639763478763,0.0,0.23534153091438068,0.0,0.23491915654895532,0.0,0.16715085398181204,0,0
10,5500,0.196,0.0,-0.00042804383965280043,1.0,0.19777669417397042,0.0,0.15383637552908308,0.0,0.19419167698362233,0.0,0.2422582526394298,0.0,0.21193700067389454,0,0
11,6000,0.226,0.0,-0.00043429705918848874,1.0,0.22506988690809257,0.0,0.17396962194208357,0.0,0.22918325122171956,0.0,0.14773510488587416,0.0,0.22404213504222995,0,0
12,6500,0.198,0.0,-0.0004890170756778918,1.0,0.1642868941904552,0.0,0.1727828805286267,0.0,0.16160449953544928,0.0,0.2160221923571871,0.0,0.2853035333882815,0,0
13,7000,0.218,0.0,-0.00044521091227296445,1.0,0.19599687289098258,0.0,0.1748163123587198,0.0,0.18706351453045028,0.0,0.27846589234750385,0.0,0.1636574078723435,0,0
14,7500,0.206,0.0,-0.0005292472088510342,1.0,0.22961835339198683,0.0,0.20784603580619382,0.0,0.16884172177841586,0.0,0.20492454051089073,0.0,0.1887693485125127,0,0
15,8000,0.194,0.0,-0.0005412357056670755,1.0,0.20795743481206014,0.0,0.19845138685051641,0.0,0.1576640728395446,0.0,0.24490966367025244,0.0,0.19101744182762645,0,0
